model,Parameter Set,Fold,testAccuracy,testPrecision,testRecall,testF1,testRocauc,testCohenkappascore
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2'}",noCrossVal,0.8074179743223966,0.6645161290322581,0.553763440860215,0.6041055718475073,0.7263962835369036,0.4782529592404937
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",noCrossVal,0.7981455064194009,0.6386292834890965,0.5510752688172043,0.5916305916305916,0.7192269547969516,0.4585336029979721
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2'}",noCrossVal,0.8002853067047075,0.6446540880503144,0.5510752688172043,0.5942028985507246,0.7206832654765633,0.462826428458048
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",noCrossVal,0.8009985734664765,0.6524590163934426,0.5349462365591398,0.587887740029542,0.7160168075999582,0.4584054475419323
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2'}",noCrossVal,0.8045649072753209,0.6580645161290323,0.5483870967741935,0.5982404692082111,0.7227372377074851,0.470523373451464
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",noCrossVal,0.8045649072753209,0.6590909090909091,0.5456989247311828,0.5970588235294118,0.7218785885791836,0.4695612310275501
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2'}",noCrossVal,0.8009985734664765,0.6514657980456026,0.5376344086021505,0.5891016200294551,0.7168754567282597,0.4593905051482275
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",noCrossVal,0.8059914407988588,0.6811594202898551,0.5053763440860215,0.5802469135802469,0.7099697254410691,0.4576649145561698
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",noCrossVal,0.8031383737517832,0.6875,0.4731182795698925,0.5605095541401275,0.6977241883286356,0.4391934978956278
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",noCrossVal,0.8052781740370899,0.6867924528301886,0.489247311827957,0.5714285714285715,0.7043323937780562,0.4500096276264022
